,title,link,phone_number
0,American Academy of Cosmetic Surgery Hospital,/company/317469/american-academy-of-cosmetic-surgery-hospital,+971 4 423 7600
1,Neuropedia,/company/363315/neuropedia,Not Found
2,Healing Wonders,/company/362026/healing-wonders,Not Found
3,Hasan Surgery,/company/365531/hasan-surgery,+971 4 55 413 55
4,The Dental Lounge,/company/19027/the-dental-lounge,+971 4 345 1435
5,Dubai Herbal and Treatment Centre,/company/319798/dubai-herbal-and-treatment-centre,+971-4-3351200
6,Abrahams Medical Centre,/company/18028/abrahams-medical-centre,+971 6-561-2737
7,Prime Medical Centre - Deira,/company/18925/prime-medical-centre-deira,+971 4 7070999
8,Canadian Specialist Hospital,/company/17648/canadian-specialist-hospital,+971 4 707 2222
